State,Total population,Male,Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Black or African American alone,Total housing units
South Dakota,"884,659","449,458","435,201","58,859","59,654","62,453","57,976","57,688","114,420","106,071","96,689","58,677","58,373","90,443","44,057","19,299","766,781","26,679","92,709","14,395","2,868","6,973","20,313","401,749"
Tennessee,"6,829,174","3,329,115","3,500,059","407,026","405,373","443,911","435,235","443,667","934,878","849,159","872,195","460,144","438,621","680,190","341,410","117,365","5,413,418","1,228,973","58,662","164,002","9,899","123,704","1,132,469","3,028,437"
Texas,"28,995,881","14,385,762","14,610,119","1,981,755","1,995,392","2,184,780","2,077,356","1,984,048","4,242,661","3,959,419","3,556,845","1,689,099","1,585,799","2,259,341","1,081,125","398,261","21,995,420","3,908,287","350,100","1,678,495","68,085","1,898,004","3,442,881","11,283,892"
Utah,"3,205,958","1,610,671","1,595,287","245,883","258,067","267,584","255,453","267,379","472,153","443,692","329,369","147,856","153,324","219,213","109,412","36,573","2,893,306","61,766","57,986","118,169","49,776","142,626","34,368","1,133,543"
Vermont,"623,989","309,164","314,825","29,021","31,204","31,922","43,161","43,123","76,649","70,815","78,203","44,207","50,483","75,354","35,553","14,294","600,353","13,042","9,006","15,149",608,"2,504","8,127","339,412"
Virginia,"8,535,519","4,201,799","4,333,720","499,906","504,065","543,494","555,996","559,301","1,174,655","1,128,152","1,095,894","571,897","543,823","809,641","396,708","151,987","5,994,267","1,820,891","76,902","690,204","16,638","283,087","1,625,942","3,562,258"
Washington,"7,614,893","3,807,572","3,807,321","455,283","456,737","477,450","459,277","475,822","1,164,010","1,032,245","925,768","478,059","482,557","736,308","340,740","130,637","6,056,387","429,718","228,712","883,108","100,352","419,447","295,239","3,195,098"
West Virginia,"1,792,147","885,861","906,286","91,548","98,494","104,920","109,763","106,336","211,267","219,899","226,692","121,475","134,353","217,526","107,764","42,110","1,697,080","86,426","11,575","20,033","1,710","9,790","64,996","894,983"
Wisconsin,"5,822,434","2,892,804","2,929,630","327,258","344,543","368,646","380,127","386,575","737,315","714,436","719,293","415,388","408,957","597,951","295,832","126,113","5,088,607","438,719","92,246","201,512","7,925","139,326","366,735","2,725,153"
Wyoming,"578,759","296,005","282,754","33,098","40,471","38,966","38,611","37,766","76,649","73,671","63,810","37,601","39,327","60,674","28,489","9,626","540,317","12,428","19,199","8,673","2,060","14,143","6,425","280,281"
Puerto Rico,"3,193,694","1,515,994","1,677,700","115,403","153,900","189,662","208,460","224,534","385,530","395,192","412,923","215,519","212,906","366,492","226,345","86,828","2,275,620","609,279","13,738","8,734",349,"522,308","3,388","1,559,505"
